max_date;stid;max
2014-09-04;105307c4-8562-45e4-9cc2-a04ef4a19400;161
2014-09-05;105307c4-8562-45e4-9cc2-a04ef4a19400;161
2014-09-06;105307c4-8562-45e4-9cc2-a04ef4a19400;161
2014-09-07;105307c4-8562-45e4-9cc2-a04ef4a19400;161
2014-09-08;105307c4-8562-45e4-9cc2-a04ef4a19400;161
2014-09-09;105307c4-8562-45e4-9cc2-a04ef4a19400;161
2014-09-10;105307c4-8562-45e4-9cc2-a04ef4a19400;161
2014-09-11;105307c4-8562-45e4-9cc2-a04ef4a19400;160
2014-09-12;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2014-09-13;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2014-09-14;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2014-09-15;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2014-09-16;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2014-09-17;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2014-09-18;105307c4-8562-45e4-9cc2-a04ef4a19400;157
2014-09-19;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2014-09-20;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2014-09-21;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2014-09-22;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2014-09-23;105307c4-8562-45e4-9cc2-a04ef4a19400;159
2014-09-24;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-09-25;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-09-26;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-09-27;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-09-28;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-09-29;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-09-30;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-10-01;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-10-02;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-10-03;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-10-04;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-10-05;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-10-06;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-10-07;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-10-08;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-10-09;105307c4-8562-45e4-9cc2-a04ef4a19400;158
2014-10-10;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2014-10-11;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2014-10-12;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2014-10-13;105307c4-8562-45e4-9cc2-a04ef4a19400;156
2014-10-14;105307c4-8562-45e4-9cc2-a04ef4a19400;155
2014-10-15;105307c4-8562-45e4-9cc2-a04ef4a19400;155
2014-10-16;105307c4-8562-45e4-9cc2-a04ef4a19400;155
2014-10-17;105307c4-8562-45e4-9cc2-a04ef4a19400;155
2014-10-18;105307c4-8562-45e4-9cc2-a04ef4a19400;155
2014-10-19;105307c4-8562-45e4-9cc2-a04ef4a19400;155
2014-10-20;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2014-10-21;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2014-10-22;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2014-10-23;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2014-10-24;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2014-10-25;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2014-10-26;105307c4-8562-45e4-9cc2-a04ef4a19400;154
2014-10-27;105307c4-8562-45e4-9cc2-a04ef4a19400;153
2014-10-28;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2014-10-29;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2014-10-30;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2014-10-31;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2014-11-01;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2014-11-02;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2014-11-03;105307c4-8562-45e4-9cc2-a04ef4a19400;152
2014-11-04;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2014-11-05;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2014-11-06;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2014-11-07;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2014-11-08;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2014-11-09;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2014-11-10;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2014-11-11;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2014-11-12;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2014-11-13;105307c4-8562-45e4-9cc2-a04ef4a19400;151
2014-11-14;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2014-11-15;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2014-11-16;105307c4-8562-45e4-9cc2-a04ef4a19400;150
2014-11-17;105307c4-8562-45e4-9cc2-a04ef4a19400;149
2014-11-18;105307c4-8562-45e4-9cc2-a04ef4a19400;149
2014-11-19;105307c4-8562-45e4-9cc2-a04ef4a19400;149
2014-11-20;105307c4-8562-45e4-9cc2-a04ef4a19400;148
2014-11-21;105307c4-8562-45e4-9cc2-a04ef4a19400;149
2014-11-22;105307c4-8562-45e4-9cc2-a04ef4a19400;149
2014-11-23;105307c4-8562-45e4-9cc2-a04ef4a19400;149
2014-11-24;105307c4-8562-45e4-9cc2-a04ef4a19400;149
2014-11-25;105307c4-8562-45e4-9cc2-a04ef4a19400;149
2014-11-26;105307c4-8562-45e4-9cc2-a04ef4a19400;149
2014-11-27;105307c4-8562-45e4-9cc2-a04ef4a19400;148
2014-11-28;105307c4-8562-45e4-9cc2-a04ef4a19400;146
2014-11-29;105307c4-8562-45e4-9cc2-a04ef4a19400;146
2014-11-30;105307c4-8562-45e4-9cc2-a04ef4a19400;146
2014-12-01;105307c4-8562-45e4-9cc2-a04ef4a19400;144
2014-12-02;105307c4-8562-45e4-9cc2-a04ef4a19400;144
2014-12-03;105307c4-8562-45e4-9cc2-a04ef4a19400;143
2014-12-04;105307c4-8562-45e4-9cc2-a04ef4a19400;142
2014-12-05;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2014-12-06;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2014-12-07;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2014-12-08;105307c4-8562-45e4-9cc2-a04ef4a19400;141
2014-12-09;105307c4-8562-45e4-9cc2-a04ef4a19400;140
